16Rnd_9x21_Mag,350
30Rnd_45ACP_Mag_SMG_01,750
30Rnd_9x21_Mag,950
6Rnd_45ACP_Cylinder,350
9Rnd_45ACP_Mag,350
acc_flashlight,1000
AGM_Altimeter,100
AGM_CableTie,100
AGM_EarBuds,25
AGM_HandFlare_Green,1000
AGM_HandFlare_Red,1000
AGM_HandFlare_White,1000
AGM_HandFlare_Yellow,1000
AGM_IR_Strobe_Item,0
AGM_ItemKestrel,500
AGM_MapTools,500
AGM_NVG_Gen1,2000
AGM_NVG_Gen2,1200
AGM_SpareBarrel,1000
AGM_Vector,15000
APERSMine_Range_Mag,70000
APERSTripMine_Wire_Mag,70000
Binocular,150
Chemlight_blue,300
Chemlight_green,300
Chemlight_red,300
Chemlight_yellow,300
FirstAidKit,1000
hgun_ACPC2_F,21500
hgun_PDW2000_F,67500
hgun_Pistol_heavy_02_F,9990
hgun_Rook40_F,4900
IEDLandSmall_Remote_Mag,50000
IEDUrbanSmall_Remote_Mag,50000
ItemCompass,100
ItemGPS,100
ItemMap,100
ItemWatch,100
Medikit,500
O_HMG_01_high_weapon_F,400000
O_HMG_01_support_high_F,7000
optic_Aco,3000
optic_ACO_grn,3000
optic_Hamr,10000
optic_MRCO,10000
R3F_7Rnd_M4S90,450
R3F_M4S90,50000
rhs_100Rnd_762x54mmR,2500
rhs_10Rnd_762x54mmR_7N1,3000
rhs_30Rnd_545x39_AK,1000
rhs_30Rnd_762x39mm,1500
rhs_acc_1p63,3000
rhs_acc_ekp1,3000
rhs_acc_pkas,3000
rhs_mag_30Rnd_556x45_Mk318_Stanag,1000
rhs_mag_9x18_12_57N181S,350
rhs_mag_9x19_17,350
rhs_weap_ak103,140000
rhs_weap_ak103_npz,140000
rhs_weap_ak74m,100000
rhs_weap_ak74m_2mag,100000
rhs_weap_ak74m_2mag_camo,100000
rhs_weap_ak74m_2mag_camo_npz,100000
rhs_weap_ak74m_2mag_npz,100000
rhs_weap_ak74m_camo,100000
rhs_weap_ak74m_camo_npz,100000
rhs_weap_ak74m_desert,100000
rhs_weap_ak74m_desert_npz,100000
rhs_weap_ak74m_folded,100000
rhs_weap_ak74m_npz,100000
rhs_weap_akm,140000
rhs_weap_akms,140000
rhs_weap_m14ebrri,140000
rhs_weap_m16a4,100000
rhs_weap_m240B,200000
rhs_weap_m249_pip,180000
rhs_weap_m4,100000
rhs_weap_m4a1_carryhandle,100000
rhs_weap_M590_5RD,64000
rhs_weap_M590_8RD,67000
rhs_weap_makarov_pmm,4900
rhs_weap_mk18_grip2,100000
rhs_weap_pkm,180000
rhs_weap_pkp,200000
rhs_weap_pya,4900
rhs_weap_sr25,140000
rhs_weap_sr25_ec,140000
rhs_weap_svdp,250000
rhs_weap_svdp_npz,250000
rhs_weap_svdp_wd,250000
rhs_weap_svdp_wd_npz,250000
rhs_weap_svds,250000
rhs_weap_svds_npz,250000
rhs_weap_XM2010,250000
rhs_weap_XM2010_d,250000
rhs_weap_XM2010_sa,250000
rhs_weap_XM2010_wd,250000
rhsusf_100Rnd_556x45_soft_pouch,2000
rhsusf_100Rnd_762x51,2500
rhsusf_20Rnd_762x51_m118_special_Mag,1500
rhsusf_5Rnd_00Buck,350
rhsusf_5Rnd_300winmag_xm2010,3000
rhsusf_8Rnd_00Buck,550
rhsusf_acc_compm4,3000
rhsusf_acc_eotech_552,3000
SatchelCharge_Remote_Mag,200000
SMG_01_F,69450
SMG_02_F,73450
SmokeShellBlue,1000
SmokeShellGreen,1000
SmokeShellOrange,1000
SmokeShellPurple,1000
SmokeShellRed,1000
tf_anprc148jem,5000
ToolKit,9500
Trixie_CZ550_Mag,1000
Trixie_CZ550_Rail,120000
Trixie_Enfield,70000
Trixie_Enfield_Mag,750
